Student Program,Pass Cases,Fail Cases,Pass Percentage
/Users/asthasingh/AutoGrading_project/Iteration_4/prog_dir/ABC102.py,0,104,0.0
/Users/asthasingh/AutoGrading_project/Iteration_4/prog_dir/ABC101.py,44,60,42.30769230769231
